2avatcom  (tutor    a, 28 blocks)
  1 | 50 | 05/17/84 | 03/07/94 | s | s | David Si | es | UI BE{70} | bR | see "auth | ors" | space simu | lation | all | strategic | space simu | lation | 15.19.41. | dave runte | e | s | coserv | coserv | publish | i4a÷* | avatarbv | mu2+ «{75} | 0catnote | coserv | s0edit | 5 | e

=== block '*directory'  kind 00  0 words  (block 0)
sz«$qc/djkr57fxnp-⌫9yfpgitq⌫l↑>⌫a.;;mte↓wo1ce+tv8[9[etagLunyl

sz«9acxdkfsb5qbpibaf↑9p/pgtu⌫g↑>⌫;;;nhfvyo1be8tv8[p[e1agHunthor

s-«18c9dmr]/]f÷0-⌫1yg6dq⌫×;>⌫ro;;nhf-0o2ae8tv8[p[et*Rusec

s3«=6ctdn76p+paqef<t+=8opdk⌫t;>ør4;;mdff1ob6estv8[9[p↑Slufin

s1«$ac5dnir6eg1b÷÷-⌫t

=== block 'dungeoncom'  kind 41  320 words  (block 13)
yg8↑7tq⌫9↑>⌫*c4;;m=ff2j17e8tv8[p[eta*Sumanah

s5«c7c9dor757g53mp*a1teaa5tq⌫×;$t7ao;;npff4o27e/tv8]l[eta*Burimyut
i(pfac5dtj7=9etl«×/⌫9yjb6a7tn6⌫l{^75}×7.;;πgfro3bhotv8]mrj/fgIce Demon
st5×dbtacia1)clb÷*asl6gddh;z÷gc4;;nlfd+ibd-tv7[9pdccNight Dragon
s/[8bxcfjbxe÷*acbnP↑>⌫ro;5m⌫dc>07d%tv5aqqpa8Hell Hound
s3 79blfcsbh)d÷]*atycjtu{'40}.>{'00}co;;nldeaeaad]tv8[q]pa9Sorcerer
sx{75}>ab9biii[÷)adad↑1yd9ttm4>{'00}ao;;npdul;beetv8]l[ebeFiragon

sub8aa÷acejb2ce÷*a++5dhd35{75}>Hp4;⌫m⌫b9-g5ed83l+bn5za%Plideus

t(r9a/aciblxe5(asghtd;z÷b.;;mpb9+g6bdxtv77lpdcbDimapad

st 8%a1acp]hzd÷-⌫sgbdm.>{'00}co;;nhb96c6adztv8]l[ea7Ximyut

i5÷cea5dfib2jea2-↑toatnmh{^75}÷b.;;3pb97d5bhjtv8]l[e%Kimien

st+r)a9bdfhb1;ad9↑tjd5ttg4>{'00}ao;;npb95fabd7tv77lpec%Yisemah

2er<a9ach]2zg5ad↑taadm÷;$pbao;;mpb×.d4bd.tv8jl[e%Dygold

xfc÷a5adlj6ha5f8bygappb;;;)0.;⌫i9fc<827
p
Tiragron
s5[6«a=bcic5=h59⌫ug5q>>{'00}a;;;jxc99e4d2%tv8÷l[gacBistal

s5276a=bh6pxad/sblmp;%*;r.;;nxcc{^06};dd)tv7
        p[ebbWhitor

s5÷$ea/ach6l$f÷
        9⌫soghtoh↑>{'00}a.;;ntcc↑e5cdztv8[p[ib7Vilunar

yiesr{75}sbaxaahqhfc5*asbdjr↑>{'00}a.;⌫nlbsJ37dbtv76q5iaaLenir

yiesx{75}8[bxbggja5=n9jttgdbdjn{'00};>{'00}6.;⌫mhecQ5ad{75}tv77l[ed9Lunar

yies9{75}96cxdngja5=n-jtyfddjl⌫d;>⌫h6.;⌫mhgfxv;ae↑tv77l[adb*Pilferer
sx{75}>[c9dni3i]/%adad⌫9yd7tto⌫d4>⌫6.;;npdeybe-tv8]lagtc↑Pesec

snqq[btbm8[hzpapd)⌫sl-sopbdqP;>{^30}]4;;mdc↓1oeaeztv8]l]÷a-Lator

s3«$[d/h j+5+ipxnruf⌫9yfw-iti{^16};;{^'61}.;;mtb-w8cgjtv8]lalb Gold Pelagon
sx]sab÷lkoja⌫-e÷waf↑+ydjhdq{'40}{75}>H÷w;;n1eefj4eh↓3l+bl[ue↓Blue Slime
st[95c5dpyrah5f5f9↑sygappc⌫d;;;)0.;;ndlejt2b
p
Helentor
s9÷$bb/ckra/-f÷xad↑1ychtoH↑>{'00}a.;;ntdugiceutv8[p[edb-Jerog

sx[8eb1bkjq[/<djad↑1ycbdq{'00}4>{'00}b;;;nldecj4beutv8[p÷fhcfDuogron

s)[78c=dmr]÷<h5um÷-⌫2yl5g5xm⌫d>>⌫q;;;nxfedj2deTv8[pagdahRular

yies9{75}99cxdpgja5=nn÷9jtyl5fd1jh⌫d;>⌫h6.;⌫mhffx0;afmtv-rlaadriNumanog

s7{75} dc1doyj]/)hppdbd-↑1yfp$5ds⌫d4>⌫b;;;nle↓sm{75}bfetv8[paotb(Levalyut Mist
s(pfac5dtrrx)etl÷9↑9yl5aa5tnq⌫l{^71}⌫7b.;;πf-rm{^42}hotv8[9[etaiBeetle

svtz]atachalhpa(ajjgpdop;>;hr4;;m9c%⌫eadxtv76ps÷abFire Beetle
s3«=7ctdmf76p)pqqd-↑t+=8ophdi⌫9;>;hr4;;mdef1ob6eTv8[pabp{'70}giant Spider
s5«=6dth376p)j{^00}qed↑1+=8opdu⌫t;>ør4;;mdff1ob6f1tv8[p%a÷bjFlame Giant
s]«=bd=h3fi8[+qum]h9]2yfvw5/py⌫9>>⌫a;;;nxgvto2dfztv8]l]e2ajFrost Giant
s]«=bd=h3dis[+qum]h9×+yfvw5/p8⌫t>>⌫a;;;nxe-tob9fztv8]mfz=ajDynur Li

=== block 'dungeoncom'  kind 41  320 words  (block 14)
zard
s-«18d9fxr]/]f÷0ad÷1yg6dq⌫×;>⌫ro;;nhd-0o2afjtv8[pqe1a(Stone Giant
s]«=7d=h3oq96+h5um]h9↑2yfvw55p8⌫d>>⌫a;;;nxgvto9fztv8]l<z=ajRamagon

s5↓⌫ad÷583j8/<ia]e]p,]+el79hxdy⌫9{75}>⌫x÷w;;n1gvvt2+fz3l+bl««ta<Larcian Thie
fves%e,rd1h5/)[x7uatt]d9]9yfs«5l8⌫d4>⌫a.;;nlhfso3bf;tyc]le4 w{^'22}obber

s/ +ab1bmoy[prdj9]9yebds{'00}4>{'00}a.;;nleecj4beztyc]l[fhbhBurglar

s)  tc1dqtz[t9t÷aqd+l9↑1yfp 5du⌫d4>⌫a.;;nlffso2be)tyc]lqotbyFilcher

s=  9c1dty7[x-d5arued9↑1yb5 5d4⌫d4>⌫/a.;;nlgfso2bfmtyc]lu4uv$Sharper

s,  D1hy3)[t/t÷pt«d9]1yfs«5l+⌫d4>⌫/q.;;nlg↓so3bf4tyc]ly42v=Jester

s÷«,hd1j18)[tT÷aqued9]2yfs«5l2⌫d4>⌫A.;;nlhvso3bf)tyc]lus2t Thie

fves×{75},/e1n+.][1)upattul9÷1yfs«5l8⌫d4>⌫Q.;;nli↓so3bf;tyc]lu42w;Master Thie
fves
        e.je1x(↑<[1.upatteh9÷2yfs«5l6⌫f4>{^'21}.;;nlj-so3bgetyfrle42u4Master of Shadows{75}q..f29,;<[9.u5awu«17/3[x=u5lm{^06};>\[*;;nllfso3bg8tyh]lhbt4Shadow

s xfrd5l6z7x9q÷tl×1-]+yl-qa5tnw⌫l{^71}×7.;;,phfro3bhktv8[puu1p0Lanir

yies/{75}+agxp3xra/=⌫n÷{'46}jtjjjfddjt⌫d;>⌫h6.;⌫mhhfx0;af.tv-rl[q1b$Black Slime
s3[+c5d33zap5ppz9×tygappc⌫d;;;)0.;;ndpejtb7
p
Lannipad
s1u9ac=djk]p7h5d÷-↑2yfpgo⌫d.>⌫5co;;ntf+ae2be8tv8[qbpwIlyut

i55cba5bahahcl÷-]tyatnsh{^75}÷ba4;;mlb8]j26hftv8]mqbpqDumental
s)[9+b1mq]p)gp2n9↑1yjblo⌫5;%*;r.;;ntfenj2beztv8[p[fafDrehtal

s÷{75},d1jv76tw5a3gs59↑dyfq<l8⌫-;%9;r.;;ntd-3obf⌫tv8[r6kda$Warlock

s/[+cb9cnni]pzm×9↑1yg9dt+⌫4>⌫5ao;;npcujz7extv8]mg5⌫7fSimian Lepad
s/{75} e1dwr]t÷d÷a1hal-]djg**i⌫l.>⌫5co;;nteu[jxbf.tv8[p[a$Sueveus

 ruce5vr7=9h÷8e8d9]+3jsh5t4⌫9;z×7d.;;n÷dfuo1bfutv8[+qg=)Wizard

s,<ubf9jtthbl8xa5g↓{'46}]1yfp.9dtm⌫4>⌫5ao;;npfeju6fmtv77l9lb(Tyr Lufin
/{75},ee1evsbtljp(g9]1tjeadwº↑>⌫
        c4;;m÷f+mybf.tv8iqc×a0Silphin

s/{75},he1e10btljpa9jq÷9]1jg6uadwº↑>⌫
        c4;;m÷dem05bf)tv8i+c×b$Warrior

s5÷=8a9dfha1xad*atl5edbr4>{'00}p;;;jpa%÷e37adtv752plparSlayer

s/[+eb9dpk[÷zy5a-9]1yebdby{'00}4>{'00}p;;;npdej4bejtv8[9×nxauMercenar
yies){75} tc9hxk%t)y÷a-y-99↑1yfp blby⌫d4>⌫;;;npffpo2be<tv8[9a4×bhSwordsm

anen,{75} D9p3s]5)z÷a-y↓99]1yfs«1b2⌫d4>⌫5;;;npgvpo3bfztv8]la;1cjHero

es]{75},xd159s]9)zpa(zv1+p1yfs«51b6⌫d4>⌫5x;;;nph-pt3bf;tv8]lm.1b=Master Swordsm
anen×{75},/e+/0]/.zpa(zvx9÷2yfs«5b1b2⌫d4>⌫5h;;;npi-py3bgjtv8]la;1 Warlord

⌫{75}..f*h↑>]⌫.z5a$z-=7/3yr)e5b1b4{^06};;\x↑;;nplfp3g7n%tv8]5e↑1h4Mag

ei+-mhe9÷8 s[e;0÷a 0÷af⌫1jl5e91t2⌫v4>⌫-ug;;npjfpybgotv8]ll71- Magi Lord
$<vof+5÷;0]e40pa 0v⌫7⌫3/l)ed1t8~;;;;2g;;nplfp3g7n]tv8]5m81/4Apprentice
s42{75}hd9503s[ezx÷a80p9]1yape91t8⌫d4>⌫-ao;;nphfpt3bf.tv8]lm*1+zSlave

sjt/aadbhx5a÷1g;kl]yl8dl

=== block 'dungeoncom'  kind 41  320 words  (block 15)
4>{'00}b;;;nhjc%b+bdhtv76p5mqReaper of Souls
%+;.t;;.3>×1.bdvzd8f-]w>
        >${'00}g{^06};;↓»*;;1{'36}g7+*7mftv=6pha4Spectral Dragon
s/↓{75}ae[5  k%={75}iaoe]p9]+l=79jxdy⌫9{75}>×xp4;;j1jg-y2+×23l-pit[dq{75}Dragon King
↓↓ºf%<];k%÷;15c{'34}/7⌫+yw>⌫jD96{^47};;↓xW;;n1l↑-3b+n;3l*75u↓1+;Firon Wol
fves5[98a5bfpapxl5]*asl5bdl.>{'00}ko;;npa%[e37dxtv76qpd]Nessin Lion
s/[-ub5bnq[tzd÷a*9]1ybbo{'00}.>{'00}co;;npdjaj4bd«tv8[p÷ida9Giant Boar
s/[+db5eps[5z25a↓/]1yf-bq⌫d.>⌫co;;npdeaj4ceutv8[qcpb-Brown Bear
s){75} tc5hvs%p)2÷a↑3r-↑1yasjbq⌫d.>⌫so;;npffqo2be<tv8[prt9bhFrost Bear
s,{75} D5pxjs]p)2÷a↑h9]1/l5bhp2⌫t.>⌫5co;;npgvqo3bfztv8[9q;xbjIron Bear
s×{75},/e5130]p.wa
        wg/-÷1/l575bp8⌫l.>⌫5so;;npi-qo3bgjtv8[9f;1g{75}Stalker

s×{75}.he5988]t.2pa«2wt-÷1]yl7/bx6⌫d.>⌫/so;;npi-qqβg2tv8[9e;1g3Doppleganger
s-{75} dc5dyscp)t÷a>91ebbdkG4;@÷{'00}gnpevyyb6e«tv8[9aet{'70}killer

sx[8cbfgi65<dec÷89tv5c÷bdg{'00}4>{'00}b;;;nldecj4bd4tv5bl÷8Belialeus
42{75}hd1pz0s[eze5v4xh9]1yel+h51h6⌫d;z×-.;;m÷gvut3bf1tv8]le;1r)Diaboleus
+-m/e156/s[e;4pa{75}5xh9⌫28el+h51h8⌫d;z×-t.;;npi-uybgjtv8]le;1t Daemon Lord
s$<vof2p* s]e445a@f⌫7⌫3/azeh51h*{^06};;↓;t*;;m÷kvu3bg8tv8]le;294Sun Dragon
s{75}*k[h/⌫ /k;(3s÷ao5bp-⌫+]fy1a/xb/4{^06}{75};↓;tw;;npmvvybg 3l*7lu*1u;Archfiend
s+-m/e9/- k⌫(;55bb4*'⌫1/l-qa51h+⌫d;.t-uo;;npj*.ybg1tv8]le;2wmFiend

s42{75}hd9333k
        (zx÷a84xd7]1/l6qa51h6⌫d;$t-ao;;npif4t3bf<tv8]le;1f)Ximyut Phantom
s42{^57}dxl130[d<q÷agvp9]1/ea71n4⌫d{^75}×-ao;;,phfr33bgjtv8]le↑1v Eidolan Phantasm
s+-n=ex1/ 0×qo5÷ayl÷-⌫1/g5a71n8⌫d{^71}×-u4;;,pjfrtbgztv8]lu>1wnOgre

s]«=7e 3fi9[.qur↓1-]2+][w5p0⌫9>>⌫÷q;;;nxhfto2dg2tv8]l9%[amCharon

]«,bf,v/i+[+6pbe6rh7]+]tfw5{'00}+{^06}>;↓÷u↑;;nxl-ty2dg.tv8]l↓«2uoGrey Mold
s3(s÷d5p030[epv÷a09]dyea÷ppc⌫d;;;)0.;;nppejt3bfvaa5Golden Ooze
s9(t5e5x5)8[e÷6÷bgf59⌫1jl5aa÷ptc⌫d;;;-0.;;nptejtbgje/aa5Rust Monster
)(u5f5//÷8]ep6÷aav÷7⌫1/fzea]xpc{^06};;;;4*;;npxfzybg=fpacDoppleganger  ⌫⌫
s-{75} dc5dvrcp)t÷bj91ebbdmG4;@÷{'00}gnpevyyxae«tv8[9qetchDoppleganger ⌫
s-{75} dc5dzscp)t÷a>91ebbdkG4;@÷{'00}gnpevyyxae«tv8[9aetchShadow of Death
9«1%j⌫t)r]1]vpayvu97⌫1b6p.6db*⌫3;;↓%p.;;,hffyoz6g4tv8]lv=⌫«gIce Dragon
s+-m6e1x-3s[e{75}85bn858f+]l5d5/x6⌫1{75}>⌫.=4;;l⌫ivv+5bgm3l8jlu$Q{75}White Dragon
sx]sab÷b3ji[÷h8pbn+a+odhd0X{75}>⌫
        54;;l⌫defj4cfx3l8]me+tq{'70}giant Snake
s=«=5e551i965kpamkp+ad+*5bp0⌫l↑>⌫[ro;;mHd$o2df9tv6qqc15zLava Troll
s,«=7d=p2dis)+r÷a3w6×9⌫2+76r5/pk⌫=;%=[7.;;nxe+°ddfstv8]lpsajFreezing Mist
t)vpe1fvgsbta9yr99⌫dyeau(pm⌫t;↑.{75}z.;;m÷fe{75}yxafvtv6q95p÷b)Assassin
s6bmjdtx6qrt)t÷br8a2b5a5di⌫d4>⌫6y.;;m÷ffpob6fftv8]lq5)Master Assassin
s+juzet5+6st;95bs958a2b55a5ti⌫d4>⌫[y.;;m÷hfpob6f+tv8]lq5⌫Red Cloak Assass

=== block 'dungeoncom'  kind 41  320 words  (block 16)
inins+ru<e/]]8{'74}o9÷bs9
        h*a3+6pi5a1k⌫f4>↓[y*;;m÷hfpog6n]tv+b5ap÷4Genie

s+jt7f/38jq+u99pbq8a1eb/py⌫3;%-
        p.;;m×feθ2agotv8]l+uuv=Crystal Spider
s/]ej5t8s%yr5ajrr57⌫f3og8qm⌫1;>{75}÷]4;;mxhe⌫o2bf[tv8]lr÷2Wind Golem
s9)tcxboi]x÷+p7⌫db(⌫↓;;;{^75};;;m×evye4bejtv76p))(9«Fire Golem
s),t5i9j3k×55r÷a57]dob(⌫,;;;;{75};;;otgvyo3be;tv8[p<)++)Emerald Golem
s])+g1y9k×95s5a87⌫dob.⌫~;;;{75};;;m×h-yt3bgltv8[qj) -=Obsidian Golem
s]-+t⌫j×s×⌫5-pby0v'↑db*5r6{^56};;;;{75};;;mHfyyebg.tv8[p«u2*;Lich

es+<mfp5 xh75a{75}8aejbxa1i{^26}{^71}↑;1*;;=÷jbag4tv+blhdp3Fire Lord
s%j9-fx383r8xf45bp9i8a+ oc]h÷i⌫9;;{^76}0↑;;o×iunyebgdtv8]lpc{75}Banshee

3[{75}e/j3<7hvpagl÷7⌫etq5aap2{^36};{75}×↑×.;;l÷iubo2afvtv77m÷⌫d/Turquoise Fung
usibdhpaa/t
ppb3*(!aob5)pdb{^00};;;;45
jhdc</g6
p
Vampire Bat
sly{75}clnhahk5b4aoadb5bhbdcl↑>{'61}wg;;ndc«ae2aeetappb9Juggernaut
5[>b1deibl5s5b58aabc;;;↑⌫2;;;mB9(ebdpdxp
Gorgon

s/{75}<6jx3];>%pf>c5ad]23v5gdat)⌫f;>↓{75}
        *;⌫m÷hfx0*6g9tv-rmj↓=u3Guardian
s]«$]d=l5cv8)+55)/)h9⌫2tb5 hp6⌫-;$1
        $;;;opff4o2dfstv8]m+uuujDust Devil
+jubl] 3s<p/5b7//d$ae.«qqxxc⌫3;.↑{^67}↑;;nlgv4yeamttblp÷Fire Bear
s×(,5/-ys]p53pb9(8aee5bpadi⌫l.>⌫5kg;;o×gvq+*7gotv8]lpc2Atlantian
s×{75},/e+ 0]x.b*(<x+a2 l(45ats⌫↓↑;×604;;m÷iem+*7gutv8]lq9manWater Snake
s=q=5e5//k×658÷b-()yf⌫dyl-rpay⌫×↑>⌫[bg;;mHc{75}yg8gjtv6rl%h[bjBlack Eel
s3[=5e53$>[h(5b*()x*fe3l77aas⌫×↑>⌫[]g;;m/gs{75}yg6ghtv6rl%6zGuardsm

anen⌫{75}.7an,$×pe)pb/)j6ea+/oeb5c1s⌫↑;>;;⌫↑;;nphg g6n;tv8[pqk53Ninja

/{75}.5;;; >↑{75})b/)j58af]yl75c⌫q{^63};;;;⌫↑;;nplg5↑g6n«tv8]5prcd4Barbarian
s,{75}=×c9gvk%u)y÷a-df9/↑1yv6ublby⌫d4>⌫p;;;npf-po2beztv8]la4×bhScreamer
sbdpad
a5bash8a5÷pp
c5
hd(g5

Ant

sltz6alabhadhb=$j[uaj+=8opdmp;>ør4;;m/as⌫aadxtv76p[5rFire Ant
slt0ablbgci[p9$a$z[j;kl-vwhdo{'40};>ør4;;ohdelj4bextv6qpqgpvAsmodeus
{75}*np;;;];>:÷b.$<⌫89f]ykq{75}o]l⌫,;;;{75}>↑;O×/l.]g6j8tv-qpdam.Flame Devil
s{75}*nqa9]8{'40}i$5b.$<⌫+a+ q-qacpn{^46};;{^75}%↑;{'37}×hf48g6n×tv8[ppqp[nHell Hound
sx 9%b5bffq[5)k5]-↑tybbde)o{'40}.>⌫6co;;nhd+aead<tv8[p«eadBlack Pelagon
x]sab÷lmvja⌫-e÷we×/↑+ye1jhd4{'40}{75}>H÷w;;n1e+↓jaeev3l+bmb)ai↓Giant Owl
st 8%a1aah[hj9⌫sgdm.>{'00}co;;nhb×6c6adztv8[p[eb7Zombie

sx5b7a5bahadcwp9]tyatnsh{^75}÷ba4;;mlb8]jahgtv8[qqbpqPseudo Dragon
subsda/abah6ljl+at+5dhd55{75}>H4;⌫m⌫cd-g5edb3l6
        r5zabaWarrior Spirit
sr{75}8baxaaiall9sfdjj;;÷5;;⌫mlc%J36dmtv77l[a6Gargoyle
st+r6a9abbhahf+91yddts4>{'00}c;;;npb8÷jabdktv769]v6Giant Frog
stt$aa5aahahhc9⌫sygdfh↑>Gc4;;

=== block 'dungeoncom'  kind 41  320 words  (block 17)
nlcc{75}ebdhtv76pqd6Disciple
st+r)atbbhb1jad/↑tyd5dvg4>{'00}ao;;npet5fabdztv77lpeabSwashbuckler
8h=(b÷dhpa9xy5a-7]1+5e9bt4>{'00}p↑;;npc↑5g{^42}d.tv77mpmpasCave Bear
st 78a/ach]pzd÷-⌫tgdm.>{'00}co;;nhct6c6bdztv8[9[e]Mumm

yies55cba÷bdhalc=÷9]tyaatrsh{^71}Ba4;;mlb8]j26d.tv8[+qbp7El

fvestt)6a1adhaphapb⌫9⌫1tcdj4>{'00}b;;;nlcc%b57d/tv7696dp%Horned Demon
st(r9a⌫aeibpxlp[(asyghtd;z÷b.;;mpc9+g6bd4tv77lpdc]Werelynx
5÷$aa/ach6l$+9sghtoh↑>{'00}co;;ntcc↑e5cd0tv8[9[ic]Giant Serpent
st 8%a5ach]tzb;+9t+gpbdm÷↑>{'00}ro;;nhed$c6ad)tv8[p[e%Scorpion
slt0aa9bf5adh$ak+=8opdmp;>;hr4;;m/c%⌫aad/tv76p[5sChampion
]{75} of9gvk%6),pa-dk98f1/fvub⌫by⌫d4>⌫p↑;;nphfpo2be1tv8]la4×b/Necromancer
syi>ab/blli[÷)g÷dg÷-]1yfpa91to4>{'00}ao;;npeul;beutv8]l«ecfGiant Boar
st 78b5bfq[5<d÷]-↑tybbdm{'00}.>{'00}co;;nhd+aead;tv8[p[e9Giant Crocodile
s9u68b/bdjr jcd[lue9mooc↑pads{'60};>{'00}ro;;nheekjaedtv8[p[e÷uWater Serpent
s9u68b/bdjr j.÷0[9↑1og5gpadu{'60};>{'00}ro;;nhfekjaeotv8[p[e÷p«Ghost

s5÷d8bxaoi[÷<etwp*at++abte,oH{^75}÷ba4;;3pd«be4bhotv8]l[edaeGnome

sx{75}>ab9bldi[÷)k÷.af↑1+5d5tbm4>{'00}a.;;npd«cl;bentv8]l[eaeLynch Demon
pe75j⌫oxljahpa÷,k589xytfq59i↑;;;;;⌫*;;jpcc«j3b]5tv8]l÷poSilver Dragon
sx]sabBgli[÷9e÷÷9⌫+8dhdo{'40}{75}>Hp4;;n1fefj4ed×3l+bl[ua×Satyr

x{75}8[bxbhhja5=-jttgabdvn{'00};>{'00}5;;⌫mhe8Q5ad{75}tv76p[edadMedusa

yi8[b⌫bllja5=.÷b;.>⌫7/ttq-wd9jn{'00};>{'00}7g;⌫mhhcQ5ae2tv769[edbfGiant Beetle
sttz6b1bhi[59pa9;kl5gdo{'40};>;hr4;;oheelj4bdTv6qpqgptGiant Leech
esnqq[btbm8[hzo5cm%1×)⌫tyfsopbdqP;>{^30}]4;;mddv1oeaeztv8[p]÷↓Poltergiest
2er[b⌫djjrr÷<%÷co%>t7⌫1+=8iy59m{'60};.pbag;;npfeoj37d<tv8jl[ea9Lost Soul
s2er<a9ach]2zg5ad↑1badm÷;.pbao;;mpdd.d4bd$tv8i9[eb8Night Screamer
s46;5dxl43s[d÷9ea{75}=1m⌫3;;↓;t*;;3pho];βgbtv8]lhfd⌫Conjurer
sx⌫cab9boda[÷)k÷d×p9↑1/l5d/1nm;;;;:mhpgnpd÷p8eu.6s↓p[eb+Illusionist
s/⌫ebc9dthcb5<x÷cr×p9↑1/fpd/1nu;;;;⌫;2hpgnpe÷p8fe.6s↓p[mtb*Apparitionist
s,Ebf9jylbl8«cr×vl9]1/fp./1ns;;;;⌫;2hpgnpg5p8f{75}.6r-p9shb(Illusion Master
s+9ehe9÷3pc[e;0÷a × ed⌫1ytfu/1n2;;;;⌫;2pgnpkpp8g4.6s↓pl71- Mind Twister
s$Fof+58tc]e40pa «mh-⌫3/eje/1n8;;;;~2pgnpop8j9.6s]5m81/4Gargantuan
s⌫)+ew;]8{'74}{75}5cv{75}5/etegtz4>÷z↑;;nleg8yg6gsl↓8kh61D{^'31}ellow Screamer
sbdpad
7pb3*'⌫ooc]
c5
hc
        g5

Black Mist
r-vsclj83lc9pcx↓m58a+8ofrhc⌫=;>↑;3*;;mxeenxbfstappa5Dragon Turtle
s{75}*k;b0h  k;(45b+[z1*a3.↑><
        l1o{^66};;↓;4w;;m⌫lf2ycgrtv*7l9pi4Giant Hornet
s3«=6ctdp76p+↓÷cz↓÷aj<t+=8opdk⌫t;>ør4;;mde-1ob6e%tv8[9[p{'70}giant Wasp
s3«=6

=== block 'dungeoncom'  kind 41  320 words  (block 20)
ctdp76p+↓5c0↓5aj<t+=8opdk⌫t;>ør4;;mde-1ob6e%tv8[9[p{'70}earwig

s3«=6ctdr76p+↓5c0↓5aj<t+=8opdk⌫t;>ør4;;mde-1ob6fctv8[9[p
        Wolf Spider
s5«=6dth576p)j{^00}qed↑1+=8opdu⌫t;>ør4;;mdff1ob6f=tv8[p%a÷bkTarantula
s/]ej5t5s%yr5ajrr59⌫f3og8qm⌫1;>{75}÷]4;;mxhf1o2bgatv8]lr÷2Hydra

sx]sab÷b3oi[÷j85bn auoehd0X{75}>⌫
        5w;;l⌫defj4cf⌫3l8]me+tqlRuffian

s=y 9c1dtv7[x-t÷arued9↑1yb5 5d4⌫d4>⌫/a.;;nlgfso2bfmtyc]lu4uv$Cannibal
s,  D1hy)[uT÷pt«d9]1yfs«5l+⌫d4>⌫/q.;;nlg↓so3bf.tyc]ly42v$Slippery Mire
st[95c5]pyzah5a5f7↑sygappc⌫d;;;)0*;;ndlejt2b
p
Imp

s5«c7c9dor757g53mp*a1teea5tq⌫×;$t7ao;;npff4o27e/tv8]l[eta*Mammon

s ruce5vr7=9h÷8e8d9]+3jsh5t4⌫9;z×7d.;;n÷d-uo1bfutv8[+qg=)Incub

usi ruce5vr7=9h÷8e8d9]+3jsh5t4⌫9;z×7d.;;n÷d-uo1bfutv8[+qg=)Sprite

s(i«bc9djjkb5<k÷.m-↑1yfpd51e×u⌫d4>⌫hao;;npf↓po2be+tv8]l[mtb*Hobgoblin
s(i«bc9djjkb5<k÷.m-↑1yfpd51e×u⌫d4>⌫hc;;;npf-po2be«tv8]l[mtb/Pixie

s(i«bc9djjkb5<k÷.m-↑1yfpd51e×u⌫d4>⌫hao;;npf-po2be«tv8]l[mtb/Siren

s7{75} dc1doyj]/)hppdbd-↑1yfp$5ds⌫d;;⌫ao;;nlffsm{75}bfetv8[paotb(Witch

es3[{75}e/j3<7hvpagl÷7⌫etq5bap2{^36}4;×↑×.;;l÷i+o2afvtv77m÷⌫d/Ghoul

s xfrd5l3z7x9q÷tl×1-]+yl-qa5tnw⌫l{^71}×7.;;,phfro3bf$tv8]luu1p0Harp

yies ruce5vr7=9h÷8e8d9]+3jsh5t4⌫9;z×7d.;;n÷d-uo1bf+tv8[+qg=$Coltpixie
s42{75}hd9300k
        (zx÷a84xd7]1/l6ua51r6⌫d;$t-ao;;nphf4t3bf<tv8]le;1f)Little Blue Birdst(./e1d+/<[hj>÷c,u,
        å1]r↓u518{^06};;{^'23}o;;nhg+ao3an;3b-vpu42w;Golden Eagle
s3(,xe1n$7[u<>5c.>{^74};91yfs«518{^06};;{^'20}4;;nheeao3ag.tv-q9u42w;Silent Eagle
s3(,xcoh-0«u)>÷c÷⌫o*a2 v$w5xc=*⌫f.>»4;;nxc«atg7f]tv(y*[tqoAulmyshir
%9fp3;; >«tbd6hp7/f.↑÷qacxp{^37};;↓;⌫*;{'54}÷lh] g6n%tv-qpd[l.Shape Shifter
s{75}*k;lsh 8«toc]⌫.i=3]r
        zab⌫o{^56};;↓;[*;;ntg/{'37}*7g7tv*7ltd14Elven Lord
s4jvxj$;/0]te.c%.k÷-3-yyl*d1b5y{^66};>{^51}⌫↑;;npjh÷ g6gbtv(y9 pn4Minion of Death
 xfpd5]6s÷
vpc×{75}op7ecaqcxc⌫3;;↓;⌫*;;lpefrtaf8jyaPaAngel of Death
%jvxcu{'46};xbho{75}c×{75}op732 jard÷vc{^66};;↓;⌫*;;npfvyy17gjtv8]ld Dwar

fvestt)5a1aahad«5c↓{75}5/↑dtjcdn4>{'00}b↑;;nlcc%b57dcl↓8kh6eppqAstral Dragon
s/↓{75}aeu5]3k%=<15a]19⌫{^00} .=$⌫jxlo⌫9{75}>×xpw;;n1jfvyg+g ov-qDqeu2Dragon Queen
%*ntf[{75}]]k%5;15a%1/7⌫+ew><jAr6{^47};;↓xW;;o1jfv0+eg.3l*75u↓1+;Sentinel
s){75} tc9hzk%tjzc
        {^37}+7↑1 l6tbly⌫d4>⌫↑;;npffpob7e<tv8[9a4×bhDefender
s,{75} D9y3s]5)zpc<{^57}(7↑1 l-t12⌫d4>⌫5↑;;npgvpoa7fztv8]la;1cjHoly Warrior
s×{75},/c6=0]/.z÷c<{^57}/7]3]yft5b⌫y{^16};>@x↑;;npi-pyb7f7tv8]l6n5t2Astral Demon
